"Ведомость учета муниципального жилого фонда, закрепленного в оперативное управление МКУ ""Жилищное управление г. Орла"" по состоянию на 01-04-22";;;;;;;
№ п/п;Адрес дома;Количество жилых объектов, всего;Общая площадь жилых объектов, всего м2;Количество муниципальных жилых объектов;Общая площадь муниципальных жилых объектов, м2;В мун. собств.%;Муниципальные жилые объекты
1853;Максима Горького ул 117 ;;0;0;0;;дообор,
1854;Максима Горького ул 118 ;15;422,5;0;0;0,00;
1855;Максима Горького ул 119 ;81;3542,1;9;382,1;10,79;2, 11, 14, 17, 24, 47, 57, 66, 76
1856;Максима Горького ул 120 ;10;422;0;0;0,00;
1857;Максима Горького ул 2 ;45;3132,4;1;43,6;1,39;44,
1858;Максима Горького ул 20 ;33;1316,2;4;175,7;13,35;7, 8, 24, 32
1859;Максима Горького ул 22 ;22;1338,3;2;101,3;7,57;9,23,
1860;Максима Горького ул 24 ;14;687,1;1;45,8;6,67;4,
1861;Максима Горького ул 27 ;33;1677,1;2;130,6;7,79;11,34,
1862;Максима Горького ул 28 ;30;1318,24;1;42,4;3,22;28
1863;Максима Горького ул 29 А;25;1117,1;0;0;0,00;
1864;Максима Горького ул 39 ;36;1437,5;0;0;0,00;
1865;Максима Горького ул 4 ;70;3181,5;3;142,8;4,49;8, 50, 68
1866;Максима Горького ул 41 ;91;5642,4;1;74,4;1,32;84
1867;Максима Горького ул 49 ;25;977,7;0;0;4,11;
1868;Максима Горького ул 49 ;;;1;40,2;;27(1/2)
1869;Максима Горького ул 50 ;55;2116,6;5;197,7;9,34;8, 10, 27, 31, 45
1870;Максима Горького ул 50 А;35;1387,6;1;42,5;3,06;35
1871;Максима Горького ул 51 ;57;2327,29;5;172,39;7,41;15, 42, 49, 49.1, 57
1872;Максима Горького ул 52 ;217;11648,1;8;434,2;3,73;3, 105, 114, 136, 147, 182, 196, 205
1873;Максима Горького ул 58 ;72;3966,3;3;170,1;4,29;57, 62, 64
1874;Максима Горького ул 60 ;366;19803,8;11;631,1;3,19;25, 33, 34, 45, 45.1, 91, 149, 175, 181, 205, 256
1875;Максима Горького ул 63 ;118;2993;7;181,4;6,77;78, 84, 87, 97, 100, 113, 117
1876;Максима Горького ул 63 ;;21,2;1;21,2;;71 (специализированный маневренный жилищный фонд)
1877;Максима Горького ул 63 А;64;4496,6;0;0;0,00;
1878;Максима Горького ул 65 ;56;2693,6;0;0;0,00;
1879;Максима Горького ул 67 ;72;3131,6;3;139,5;4,45;5,16,52,
1880;Максима Горького ул 69 ;99;4419,8;5;234,6;5,31;63, 66, 77, 79, 89
1881;Максима Горького ул 71 ;100;4595,1;8;361,9;7,88;1, 3, 23, 32, 34, 52, 55, 61
1882;Максима Горького ул 82 ;73;2922,2;1;30,6;1,05;9
1883;Маринченко ул 1 ;71;3173,5;6;216,5;6,82;11, 13, 23, 57, 57.1, 67
1884;Маринченко ул 11 ;72;3979,4;7;395,2;9,93;1, 3, 22, 41, 48, 49, 56
1885;Маринченко ул 12 ;80;3561,9;7;325,4;9,14;15, 26, 27, 32, 40, 48, 53
1886;Маринченко ул 13 ;74;3904,6;3;157,6;4,04;46, 52, 60
1887;Маринченко ул 14 ;80;3553,2;11;475,2;13,37;3, 10, 12, 13, 14, 24, 25, 29, 50, 66, 69
1888;Маринченко ул 15 ;148;7772,14;0;0;0,00;
1889;Маринченко ул 16 ;125;3435,57;22;662,43;19,28;7, 13 (специализированный маневренный жилищный фонд), 26.33, 37, 38.43, 42, 48.49, 58, 59, 86, 95, 104, 113, 146, 151, 154, 155, 157, 159, 160, 161, 167
1890;Маринченко ул 18 ;80;3370,5;6;326,4;9,68;3, 8, 9, 25, 30, 71
1891;Маринченко ул 2 ;80;3180,8;3;126,7;3,98;50, 56, 79
1892;Маринченко ул 20 ;161;3289,35;28;502,86;15,29;15, 38, 38.1, 40, 41 (специализированный маневренный жилищный фонд), 42, 42.2, 44, 44.1, 44.2, 44.3, 45, 46.1, 58, 60, 63, 64, 73, 76, 80, 83, 107, 109, 113, 115, 122, 134, 142
1893;Маринченко ул 21 ;365;20619,7;0;0;0,00;
1894;Маринченко ул 22 ;65;2820,7;10;476,9;16,91;14, 18, 19, 21, 27, 28, 39, 45, 49, 61
1895;Маринченко ул 23 ;144;7779;0;0;0,64;
1896;Маринченко ул 23 ;;;1;50;;110
1897;Маринченко ул 24 ;76;3335;7;312,1;9,36;6,11,20,32,58,67,68,
1898;Маринченко ул 28 ;80;3555,4;11;476,7;13,41;32, 36, 39, 43, 46, 60, 62, 64, 72, 76, 78
1899;Маринченко ул 3 ;100;4552,4;8;380;8,35;2, 4, 51, 66, 72, 79, 83, 87
1900;Маринченко ул 30 ;80;3530,5;11;535,4;15,16;17, 19, 22, 35, 36, 39, 47, 51, 53, 59, 60
1901;Маринченко ул 31 ;145;7877,8;22;1212,1;15,39;2, 10, 16, 24, 51, 56, 57, 64, 66, 72, 75, 76, 85, 91, 92, 102, 103, 110, 111, 135, 139, 140
1902;Маринченко ул 32 ;82;3533;2;102,8;2,91;34, 43
1903;Маринченко ул 4 ;59;2509,5;3;132,1;5,26;37,39,58,
1904;Маринченко ул 5 ;81;3570,65;8;377,7;10,58;21, 37, 41, 43, 58, 66, 69, 78
1905;Маринченко ул 7 ;64;2771,3;3;106,5;3,84;19, 24, 60
1906;Маринченко ул 8 ;93;3306,33;12;368,3;14,20;10, 27, 30, 49, 53.1, 53.4, 54.3, 58, 60, 69, 71, 71.1
1907;Маринченко ул 8 ;;;1;101,2;;54(20/101)
1908;Маслозаводской пер 12 ;22;689,9;3;164,9;43,22;3, 7, 8
1909;Маслозаводской пер 12 ;;;1;0;;7а,
1910;Маслозаводской пер 12 ;;;1;21;;5(21/58),
1911;Маслозаводской пер 12 ;;;1;70;;1
1912;Маслозаводской пер 12 ;;;1;42,3;;12а
1913;Маслозаводской пер 15 ;10;481,8;5;240,8;49,98;1, 2, 3, 7, 7.1
1914;Маслозаводской пер 16 ;8;210,3;2;62,8;29,86;2,3,
1915;Маслозаводской пер 17 ;14;415,9;6;162,7;107,72;2,2.1,2.2,4,7,7.1,
1916;Маслозаводской пер 17 ;;20,8;1;20,8;;5(1к.),
1917;Маслозаводской пер 17 ;;62,6;1;62,6;;5(58/126)
1918;Маслозаводской пер 17 ;;60,8;1;60,8;;8
1919;Маслозаводской пер 17 ;;63,5;1;63,5;;1
1920;Маслозаводской пер 17 ;;77,6;1;77,6;;6
1921;Маслозаводской пер 17 ;;77,6;1;77,6;;6(27/78)
1922;Маслозаводской пер 17 ;;61,4;1;61,4;;3
1923;Маслозаводской пер 18 ;4;215,3;1;53,3;24,76;12
1924;Маслозаводской пер 19 А;2;83,7;0;0;0,00;
1925;Маслозаводской пер 19 Б;1;33,4;0;0;0,00;
1926;Матвеева ул 10 ;97;3270,8;0;0;0,00;
1927;Матвеева ул 13 ;64;2836,1;5;220,6;7,78;5, 10, 19, 22, 33
1928;Матвеева ул 14 ;81;3538,2;0;0;0,00;
1929;Матвеева ул 15 ;82;3523,5;4;176,1;5,00;16, 20, 61, 79
1930;Матвеева ул 16 ;81;3567,7;0;0;0,00;
1931;Матвеева ул 17 ;80;3520,1;6;289,7;8,23;55, 58, 59, 70, 75, 77
1932;Матвеева ул 18 ;80;3567,9;4;219,2;6,14;18, 24, 28, 29
1933;Матвеева ул 19 ;81;3526,7;9;394,9;11,20;23, 44, 47, 49, 55, 57, 60, 65, 68
1934;Матвеева ул 23 ;62;2443;5;180,2;7,38;18.3, 24, 49, 53, 54
1935;Матвеева ул 25 ;60;2571,45;4;161,9;6,30;6,41,48,57,
1936;Матвеева ул 27 ;61;2593,1;8;339,4;13,09;4, 16, 20, 25, 29, 51, 55, 60
1937;Матвеева ул 29 ;64;2852,6;2;90,7;3,18;7, 8
1938;Матвеева ул 31 ;80;3563,2;9;425,6;11,94;6, 36, 39, 41, 50, 59, 60, 73, 80
1939;Матвеева ул 33 ;80;3558;8;359,3;10,10;4, 9, 11, 17, 21, 22, 37, 56
1940;Матвеева ул 8 ;97;3271,62;0;0;0,00;
1941;Матроса Силякова пер 1 ;150;2794,74;25;506,92;18,14;10, 19, 28, 29, 34.35, 44.41, 49, 60, 61, 68, 72, 89, 93, 94, 97, 98, 122.124, 134, 146, 149, 150, 151, 154, 158, 162 (специализированный маневренный жилищный фонд)
1942;Матроса Силякова пер 2 ;80;3177,8;7;233,3;7,34;7, 14, 43, 46, 50, 51, 79
1943;Матроса Силякова пер 3 ;153;2665,27;37;600,95;31,33;1, 3, 7, 10, 12, 15, 16 (специализированный маневренный жилищный фонд), 25/1, 32, 40, 48, 51, 52, 61, 63, 64, 68, 69, 75, 81, 83, 85, 86, 88, 94, 96, 98, 100, 107, 113, 125, 134, 138, 143, 152, 155, 160
1944;Матроса Силякова пер 3 ;;48,6;1;48,6;;11,
1945;Матроса Силякова пер 3 ;;91,9;1;91,9;;17(32/92,
1946;Матроса Силякова пер 3 ;;93,6;1;93,6;;1(18/94)
1947;Матроса Силякова пер 4 ;76;2990,9;8;302,5;10,11;16, 16.1, 18, 39, 57, 62, 69, 75
1948;Матроса Силякова пер 5 ;156;2771,78;27;496,96;17,93;13, 34, 40, 49, 53, 58.59, 60, 61.62, 76, 77, 78, 86, 89, 90, 101, 112, 118, 120, 125, 128, 136 (специализированный маневренный жилищный фонд), 139, 140, 141, 142, 143, 149
1949;Матроса Силякова пер 6 ;80;3136,6;8;350,8;11,18;24, 33, 42, 49, 51, 53, 65, 73
1950;Матроса Силякова пер 7 ;76;3058,8;4;175,5;5,74;39, 46, 51, 57
1951;Матроса Силякова пер 8 ;64;2529,7;3;127;5,02;14, 28, 33
1952;Матросова ул 46 ;147;7644,7;0;0;0,00;
1953;Матросова ул 48 ;331;17858,9;8;517,8;3,32;37, 77, 123, 125, 187, 200, 252, 277
1954;Матросова ул 48 ;;;1;8,2;;146а,
1955;Матросова ул 48 ;;;1;66,4;;124
1956;Матросова ул 50 ;108;5805,1;6;352,3;6,07;24, 31, 53, 65, 77, 107
1957;Матросова ул 52 ;145;7765,3;0;0;0,00;
1958;Матросова ул 56 ;325;18659,1;8;547,1;2,93;57, 98, 131, 201, 213, 218, 264, 293
1959;Матросова ул 64 ;1;58,4;0;0;0,00;
1960;Матросова ул 66 ;2;89,1;0;0;0,00;
1961;Машиностроительная ул 1 ;76;3024,32;5;213,8;7,07;1, 28, 31, 61, 75
1962;Машиностроительная ул 3 ;111;2963,01;11;291,06;16,13;4/1,6, 5/1, 5/4, 6/2,4, 6/6, 7/1(специализированный маневренный жилищный фонд), 8/4,6, 13/3, 16/4, 16/5, 17/2
1963;Машиностроительная ул 3 ;;93,7;1;93,7;;16(31/93,
1964;Машиностроительная ул 3 ;;93,2;1;93,2;;3(75/93),
1965;Машиностроительная ул 5 ;109;2920,75;14;313,7;11,97;3, 10, 37.1, 38, 45-4, 48, 49.50, 73, 94, 100, 116, 122, 129, 137
1966;Машиностроительная ул 5 ;3;103,2;2;36;;25(137),25(138),
1967;Машкарина ул 10 ;185;9817,6;15;804,9;8,20;13, 28, 29, 33, 69, 85, 94, 95, 119, 125, 130, 151, 157, 177, 177.
1968;Машкарина ул 12 ;76;3981,6;2;125,8;3,16;5, 21
1969;Машкарина ул 14 ;259;13655,9;11;752,3;5,51;44, 67, 119, 148, 162, 196, 207, 225, 233, 241, 251
1970;Машкарина ул 16 ;241;12879,35;6;334,8;2,60;74, 77, 164, 177, 189, 207
1971;Машкарина ул 18 ;2;144,6;0;0;0,00;
1974;Машкарина ул 20 ;289;16326,25;17;1026,9;6,29;10, 73, 79, 81, 105, 111, 126, 163, 184, 193, 210, 217, 249, 253, 256, 257, 263
1975;Машкарина ул 4 ;183;9620,9;0;0;0,00;
1976;Машкарина ул 6 ;108;5834,8;12;657;11,26;2, 5, 7, 21, 36, 48, 53, 55, 60, 85, 98, 102
1977;Машкарина ул 8 ;110;5938;12;630,1;10,61;12, 35, 41, 41.1, 42, 47, 52, 58, 69, 71, 73, 97 
1978;Маяковского ул 11/13 ;1;56,6;0;0;0,00;
1979;Маяковского ул 18 ;1;59,6;0;0;0,00;
1980;Маяковского ул 2 ;4;101,2;0;0;0,00;
1981;Маяковского ул 27 ;1;41,8;0;0;0,00;
1982;Маяковского ул 29 ;1;54;0;0;0,00;
1983;Маяковского ул 33 ;5;149,5;0;0;0,00;
1984;Маяковского ул 60 ;70;3167;2;95;3,00;10,24,
1985;Маяковского ул 62 ;80;3398,1;5;210,1;6,18;14, 33, 37, 52, 71
1986;Маяковского ул 64 ;70;3148,3;5;226,2;7,18;4, 5, 11, 20, 70
1987;Мебельная ул 2 ;2;99;2;99;100,00;1,2,
1988;Мебельная ул 2 А;16;415,55;6;152,1;36,60;1,4,7,9,11,12,
1989;Медведева ул 59 ;1;30;1;30;100,00;1,
1990;Медведева ул 93 ;151;2535,8;0;0;15,22;
1991;Медведева ул 93 ;;12,6;1;12,6;;12,
1992;Медведева ул 93 ;;18,2;1;18,2;;13 (специализированный маневренный жилищный фонд)
1993;Медведева ул 93 ;;12,8;1;12,8;;23,
1994;Медведева ул 93 ;;18,2;1;18,2;;25,
1995;Медведева ул 93 ;;12,5;1;12,5;;40,
1996;Медведева ул 93 ;;17,9;1;17,9;;41,
1997;Медведева ул 93 ;;18,1;1;18,1;;53,
1998;Медведева ул 93 ;;12,6;1;12,6;;56 (специализированный маневренный жилищный фонд)
1999;Медведева ул 93 ;;17,8;1;17,8;;57,
2000;Медведева ул 93 ;;18,4;1;18,4;;65 (специализированный маневренный жилищный фонд)
2001;Медведева ул 93 ;;17,9;1;17,9;;70,
2002;Медведева ул 93 ;;17,9;1;17,9;;78 (специализированный маневренный жилищный фонд)
2003;Медведева ул 93 ;;12,5;1;12,5;;80,
2004;Медведева ул 93 ;;31;1;31;;98,99,
2005;Медведева ул 93 ;;12,8;1;12,8;;100,
2006;Медведева ул 93 ;;12,6;1;12,6;;123,
2007;Медведева ул 93 ;;31;2;31;;125, 139
2008;Медведева ул 93 ;;12,6;1;12,6;;128,
2009;Медведева ул 93 ;;18;1;18;;129,
2010;Медведева ул 93 ;;12,2;1;12,2;;131,
2011;Медведева ул 93 ;;17,9;1;17,9;;145,
2012;Медведева ул 93 ;;12,6;1;12,6;;152,
2013;Медведева ул 93 ;;17,9;1;17,9;;158,
2014;Межевой пер 4 ;1;149,5;0;0;0,00;
2015;Межевой пер 15;1;40,5;1;40,5;100,00;7
2016;Металлургов ул 1 ;52;2186,4;2;60,5;2,77;7, 31
2017;Металлургов ул 10 ;68;3766,8;0;0;0,00;
2018;Металлургов ул 11 ;79;3488,8;7;280,5;8,04;1, 18, 34, 36, 40, 63, 64
2019;Металлургов ул 12 ;82;3517,6;11;380,8;10,83;14,18,28,37,41,45.,45..,45,48,63,70,
2020;Металлургов ул 13 ;64;2762,6;7;310,6;11,24;2, 7, 12, 13, 18, 34, 47
2021;Металлургов ул 14 А;71;3802,6;0;0;0,00;
2022;Металлургов ул 15 ;66;2820,2;8;321,2;11,39;7,12,14,15,25,35,61.,61,
2023;Металлургов ул 16 ;68;3769,5;0;0;1,43;
2024;Металлургов ул 16 ;;53,8;1;53,8;;52,
2025;Металлургов ул 18 ;100;4463,1;3;135,2;3,03;15, 58, 81
2026;Металлургов ул 19 ;239;12768,8;17;1010,3;7,91;46, 54, 72, 86, 94, 107, 111, 123, 154, 160,  179, 183, 184, 216, 219, 236, 239
2027;Металлургов ул 2 ;100;4511,8;4;180,1;3,99;4, 16, 29, 74
2028;Металлургов ул 20 ;68;3773;1;50,8;1,35;12
2029;Металлургов ул 21 ;107;5851,9;7;416,7;7,99;11, 28, 54, 77, 88, 91, 95
2030;Металлургов ул 21 ;;50,9;1;50,9;;30
2031;Металлургов ул 22 ;80;3511,9;4;160,8;4,58;1,49,52,75,
2032;Металлургов ул 23 ;108;6007,4;5;231,6;3,86;1, 26, 70, 83, 95
2033;Металлургов ул 24 ;98;4430,3;5;236,2;5,33;29, 48, 67, 74, 77
2034;Металлургов ул 26 ;81;3555,7;6;232,7;6,54;2, 10, 50, 50.1, 55, 65
2035;Металлургов ул 27 ;160;8571;1;37,3;0,88;162
2036;Металлургов ул 27 ;;;1;38,3;;242 (специализированный жилищный фонд для детей-сирот)
2037;Металлургов ул 28 ;81;3485,3;7;321,8;9,23;30, 32, 44, 59, 60, 62, 77
2038;Металлургов ул 3 ;58;2422,65;6;266,8;11,01;5, 18, 34, 51, 53, 57
2039;Металлургов ул 32 ;56;2670,1;5;289,9;10,86;8, 14, 28, 53, 56
2040;Металлургов ул 34 ;57;2677,4;5;245,1;9,15;5, 27, 29, 44, 56
2041;Металлургов ул 36 ;80;3552,1;3;134,9;3,80;3, 8, 40
2042;Металлургов ул 38 ;166;2708,13;21;367;14,73;3, 17, 23, 34, 52 (специализированный маневренный жилищный фонд), 55, 69, 71, 74, 89, 102, 130, 142, 148, 155, 156А, 165, 172, 174 (специализированный маневренный жилищный фонд), 176, 185
2043;Металлургов ул 38 ;;;1;13,3;;80
2044;Металлургов ул 38 ;;;1;18,6;;к.103
2045;Металлургов ул 4 ;101;4505,2;7;338,3;7,87;3, 4, 20, 51, 60, 71, 86
2046;Металлургов ул 4 ;;16,4;1;16,4;;2.,
2047;Металлургов ул 40 ;115;1696,06;34;393,56;23,20;68,73.,73,89,94,95,97,103.,103..,103,107.,107,109,111.,111,113,113.,114.,114,117,131..,131,131.,133,134,137.,137,140,147,150,161,166,174,187,
2048;Металлургов ул 44 ;79;2579,4;15;482,1;18,69;9, 10, 15, 32, 35, 40, 41, 45, 52, 53, 58, 60, 70, 71, 74
2049;Металлургов ул 46 ;254;13349,7;15;850,7;6,71;3, 10, 11, 26, 28, 29, 40, 62, 104, 170, 192, 225, 231, 247, 248
2050;Металлургов ул 46 ;;45;1;45;;146(45/58)
2051;Металлургов ул 48 ;121;6902,5;5;257,5;3,73;40, 53, 79, 90, 106
2052;Металлургов ул 5 ;79;3407,2;2;85,9;2,52;13,35,
2053;Металлургов ул 50 ;109;5898,2;4;253,5;4,30;17, 45, 73, 85
2054;Металлургов ул 52 ;219;12042,5;0;0;0,00;
2055;Металлургов ул 54 ;512;27480,58;41;2028,2;7,38;2, 25, 26, 50, 59, 67, 72, 76, 78, 158, 161, 191, 192, 192., 204, 208, 208.1, 208.2, 208.3, 237, 247, 254, 267, 273, 283, 285, 286, 319, 326, 343, 379, 384, 400, 404, 413, 439, 453, 463, 469, 491, 494
2056;Металлургов ул 6 ;80;3554,9;5;234,6;6,60;7, 10, 16, 52, 59
2057;Металлургов ул 7 ;80;3562,4;4;192,8;5,41;33, 34, 39, 49
2058;Металлургов ул 8 ;80;3579,2;7;297,5;8,31;11, 33, 52, 68, 71, 77, 79
2059;Металлургов ул 9 ;78;3432;7;299,6;8,73;18,19,28,29,37,70,72,
2060;Мира площадь 5 ;40;2497,6;3;73,4;2,94;28.1, 28.3, 31.
2061;Мира площадь 5 А;4;273,53;0;0;0,00;
2062;Мира площадь 5 Б;5;279,62;1;26,3;9,41;12,
2063;Мира площадь 5 В;24;914,1;3;111,1;12,15;3, 5, 21
2064;Михалицына ул 22 ;1;52,1;0;0;0,00;
2065;Михалицына ул 60 ;3;132,7;1;38,4;28,94;2
2066;Михалицына ул 62 ;2;110,1;0;0;0,00;
2067;Михалицына ул 64 ;2;80,4;1;28,3;35,20;1,
2068;Михалицына ул 66 ;1;57,7;1;57,7;100,00;,
2069;Мичурина ул 70 ;22;745,9;9;305,9;100,42;1,5,6,7,11,16,18,19,21,
2070;Мичурина ул 70 ;;;1;26,2;;15,
2071;Мичурина ул 70 ;;;1;58,8;;8,9
2072;Мичурина ул 70 ;;;1;32,7;;23
2073;Мичурина ул 70 ;;;1;34,1;;24
2074;Мичурина ул 70 ;;;1;32,2;;12
2075;Мичурина ул 70 ;;;1;34,3;;13
2076;Мичурина ул 70 ;;;1;34,1;;14
2077;Мичурина ул 70 ;;;1;32;;17
2078;Мичурина ул 70 ;;;1;30,6;;20
2079;Мичурина ул 70 ;;;1;29,1;;3
2080;Мичурина ул 70 ;;;1;30,2;;2
2081;Мичурина ул 70 ;;;1;26,1;;4
2082;Мичурина ул 70 ;;;1;42,7;;22
2083;Мичурина ул 74 ;2;102,5;0;0;0,00;
2084;Мичурина ул 76 ;2;107,3;1;53,2;49,58;1,
2085;Мичурина ул 78 ;2;92,6;0;0;0,00;
2086;Мичурина ул 80 ;2;89,4;0;0;0,00;
2087;Мичурина ул 82 ;4;124,3;0;0;0,00;
2088;Мичурина ул 84 ;4;104,5;1;29,6;28,33;2,
2089;Мичурина ул 86 ;4;178,7;0;0;0,00;
2090;Молдавская ул 27 ;2;98,3;0;0;0,00;
2091;Молодежи бульвар 17;1;12095,3;1;35,4;4,39;163
2092;Молодежи бульвар 17;1;;1;35,4;;109 (специализированный жилищный фонд для детей-сирот)
2093;Молодежи бульвар 17;1;;1;35,4;;37 (специализированный жилищный фонд для детей-сирот)
2094;Молодежи бульвар 17;1;;1;35,4;;102
2095;Молодежи бульвар 17;1;;1;35,3;;151
2097;Молодежи бульвар 17;1;;1;35,4;;1 (специализированный жилищный фонд для детей-сирот)
2098;Молодежи бульвар 17;1;;1;35,5;;168 (специализированный жилищный фонд для детей-сирот)
2099;Молодежи бульвар 17;1;;1;35,4;;97
2100;Молодежи бульвар 17;1;;1;35,4;;54 (специализированный жилищный фонд для детей-сирот)
2101;Молодежи бульвар 17;1;;1;35,3;;6
2102;Молодежи бульвар 17;1;;1;35,2;;211
2103;Молодежи бульвар 17;1;;1;35,4;;108
2104;Молодежи бульвар 17;1;;1;35,5;;157
2105;Молодежи бульвар 17;1;;1;35,7;;43
2106;Молодежи бульвар 17;1;;1;35,4;;162 (специализированный жилищный фонд для детей-сирот)
2107;Молодежная ул 97 ;0;0;0;0;0,00;
2108;Молодогвардейский пер 21 ;67;4496,6;0;0;0,00;
2109;Молодогвардейский пер 23 ;29;1769,6;0;0;0,00;
2110;Молодогвардейский пер 4 ;120;3175,8;12;325,3;10,24;8, 12, 15, 30, 32, 38, 56, 59, 63, 91, 92, 104
2111;Молодогвардейский пер 6 ;27;2050,5;0;0;0,00;
2112;Мопра ул 1 ;1;16,9;0;0;0,00;
2113;Мопра ул 10 ;138;3736,5;3;54,5;1,95;15,61,115,
2114;МОПРа ул 10 ;1;18,7;1;18,7;;171
2115;Мопра ул 12 ;101;4476;2;101,8;2,27;20, 61
2116;Мопра ул 14 ;80;3551,79;10;472,4;13,30;4,15,29,32,40,41,59,75,76,78,
2117;Мопра ул 2 а;1;26,8;0;0;0,00;
2118;Мопра ул 22 ;30;1372,4;0;0;0,00;
2119;Мопра ул 29 ;109;5822,2;5;266,1;4,57;17, 29, 87, 89, 92
2120;Мопра ул 31 ;132;2500,51;18;314,3;12,57;1.1, 8.2, 11.4, 12.3, 17, 17.1, 17.3, 18.2, 19.3, 20.4, 23.3, 23.4, 24, 24.2, 24.3, 25.4, 28, 28.5
2121;Мопра ул 35 ;93;4264,3;10;470,6;11,04;12, 17, 21, 43, 44, 45, 51, 69, 90, 92
2122;Мопра ул 46/48 ;1;83,5;0;0;0,00;
2123;Московская ул 100 ;41;2293,2;3;207,1;9,03;29, 34, 36
2124;Московская ул 102 ;51;2619,9;12;647,1;24,70;3, 4, 7, 23, 24, 25, 26, 27, 35, 43, 48, 50
2125;Московская ул 104 ;21;1183,8;1;54,1;4,57;11.1,
2126;Московская ул 106 ;59;1740,7;4;126,1;7,24;34, 39 (специализированный маневренный жилищный фонд), 50, 57
2127;Московская ул 108 ;14;1099,2;0;0;0,00;
2128;Московская ул 112 ;57;3427,1;3;208,8;6,09;39, 48, 53
2129;Московская ул 114 ;29;1865,5;4;151;12,60;13,13.1,15.,18,
2130;Московская ул 114 ;;84;1;84;;9
2131;Московская ул 114 А;24;1751,2;0;0;0,00;
2132;Московская ул 116 ;25;1641,4;2;119;10,54;4, 24
2133;Московская ул 116 ;;54;1;54;;5(54/79),
2134;Московская ул 118 ;48;1464;2;64,5;4,41;27, 34
2135;Московская ул 157 ;37;1494,4;3;129,4;8,66;18, 27, 35
2136;Московская ул 171 ;40;1590,8;4;161,6;10,16;3, 15, 20, 40
2137;Московская ул 21 ;64;2509,9;1;28,5;1,14;42
2138;Московская ул 24 ;28;1318,8;1;30,3;2,30;16.1,
2139;Московская ул 28 ;90;4602,5;11;471,8;10,25;9, 20, 28, 33, 48, 49, 52, 53, 53.2, 72.1, 74.1
2140;Московская ул 36 ;33;1752,8;0;0;0,00;
2141;Московская ул 36 А;20;921,2;1;44,3;4,81;19
2142;Московская ул 41 ;53;2216,1;4;186,3;8,41;36,50,53,59,
2143;Московская ул 43 ;27;1319,6;2;83,1;6,30;4,12,
2144;Московская ул 44 ;13;447,6;1;25,9;5,79;16,
2145;Московская ул 45 ;35;1387,3;4;184,1;15,90;14, 16, 17, 18
2146;Московская ул 45 ;1;43,3;1;43,3;;41
2147;Московская ул 51 ;19;374,2;4;78;21,58;10., 10, 15, 21
2148;Московская ул 51 ;;;1;14,5;;12/1,
2149;Московская ул 53 ;12;351,8;2;75,3;30,27;7, 9
2150;Московская ул 53 ;;31,2;1;31,2;;6,
2151;Московская ул 55 ;2;54,7;2;54,7;100,00;2, 3
2152;Московская ул 58 ;37;1477,3;0;0;0,00;
2153;Московская ул 59 ;8;190,2;0;0;0,00;
2154;Московская ул 60 ;79;3113,7;1;41,7;1,34;39
2155;Московская ул 61 ;25;1165,6;2;90,3;7,75;13,20,
2156;Московская ул 62 ;78;3129,9;4;158,7;5,07;4, 9, 42, 71
2157;Московская ул 63 ;29;1840,4;0;0;0,00;
2158;Московская ул 66 ;65;2617,1;5;201,6;7,70;17, 23, 35, 41, 45
2159;Московская ул 68 ;52;3320,9;0;0;0,00;
2160;Московская ул 78 ;84;5299,4;2;102,6;1,94;47,64,
2161;Московская ул 80 ;57;2379,4;1;56,5;2,37;14
2162;Московская ул 98 ;58;2945,8;9;451,8;15,34;14,26,31,34,46,49,52,53,58,
2163;Московская ул 175 ;11;376,7;4;186,6;49,54;2,3,4,7,
2164;Московское шоссе 1 ;58;2330,5;4;209,3;8,98;8,16,29,37,
2165;Московское шоссе 10 ;11;392,3;0;0;0,00;
2166;Московское шоссе 11 ;24;1315,9;0;0;0,00;
2167;Московское шоссе 111 ;391;21333,7;0;0;0,00;
2168;Московское шоссе 113 ;292;15679,7;19;1074,5;6,85;1, 4, 23, 33, 43, 47, 49, 55, 69, 69., 141, 160, 165, 168, 220, 225, 232, 247, 260
2169;Московское шоссе 113 А;109;5911,6;8;413,9;7,00;1, 14, 15, 17, 31, 75, 84, 91
2170;Московское шоссе 113 Б;218;11546,26;20;1068,6;9,25;3, 10, 24, 28, 52, 63, 68, 68.1, 69, 83, 88, 89, 94, 111, 163, 180, 183, 187, 188, 195
2171;Московское шоссе 12 ;11;391,3;0;0;0,00;
2172;Московское шоссе 13 ;31;1301,3;6;353,8;27,19;2, 3, 5, 6, 9, 16
2173;Московское шоссе 139 ;402;21520,05;42;2312,8;10,75;2, 10, 14, 19, 20, 22, 27, 60, 68, 92, 125, 142, 145, 157, 158, 161, 167, 176, 186, 194, 207, 215, 243, 244, 261, 265, 284, 288, 314, 323, 324, 338, 345, 355, 357, 363, 380, 381, 382, 388, 389, 392
2174;Московское шоссе 143 ;80;3558,4;6;268,6;7,55;6, 15, 22, 32, 71, 78
2175;Московское шоссе 145 ;119;3083,8;4;94,3;3,06;10, 71, 94, 106
2176;Московское шоссе 147 ;80;3553,6;7;346,3;9,75;35, 39, 40, 41, 43, 49, 67
2177;Московское шоссе 149 ;79;4131,3;5;279,9;6,78;1, 22, 35, 65, 67
2178;Московское шоссе 15 ;20;850,5;2;77,1;9,07;2,16,
2179;Московское шоссе 15 А;13;433,7;6;179,4;41,36;3, 4, 5, 11, 13, 14
